iter	Logloss
361	0.4903244674
362	0.4896983971
363	0.4896409267
364	0.4895979779
365	0.4889014973
366	0.4884636243
367	0.4882199145
368	0.487850846
369	0.4873120515
370	0.4873122252
371	0.4871304277
372	0.4868905739
373	0.4864272418
